lighthouse.x_x,lighthouse.x_y,lighthouse.y_x,lighthouse.y_y,lighthouse.z_x,lighthouse.z_y,stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y
73523.,0.,73523.,0.,73523.,0.,73523.,-0.1501474380,73523.,0.2277893573,73523.,0.5390903354
73533.,0.,73533.,0.,73533.,0.,73533.,-0.1478530318,73533.,0.2305219471,73533.,0.5396040678
73543.,0.,73543.,0.,73543.,0.,73543.,-0.145553425,73543.,0.22975263,73543.,0.5401114225
73553.,0.,73553.,0.,73553.,0.,73553.,-0.1477512717,73553.,0.2319805473,73553.,0.5406143665
73563.,0.,73563.,0.,73563.,0.,73563.,-0.1511962861,73563.,0.2312752008,73563.,0.5411095023
73573.,0.,73573.,0.,73573.,0.,73573.,-0.1498589367,73573.,0.2306604236,73573.,0.5413552523
73583.,0.,73583.,0.,73583.,0.,73583.,-0.1486713290,73583.,0.2312799394,73583.,0.5418018103
73593.,0.,73593.,0.,73593.,0.,73593.,-0.1486423761,73593.,0.2309036553,73593.,0.5422371626
73603.,0.,73603.,0.,73603.,0.,73603.,-0.1503455043,73603.,0.2304834127,73603.,0.5426670909
73613.,0.,73613.,0.,73613.,0.,73613.,-0.1489595026,73613.,0.2313167602,73613.,0.5441846251
73623.,0.,73623.,0.,73623.,0.,73623.,-0.1474868506,73623.,0.2307306379,73623.,0.5446535349
73633.,0.,73633.,0.,73633.,0.,73633.,-0.1473690122,73633.,0.2301351279,73633.,0.5451099277
